AC,CL,DE,GA,ID,ML,NE,TP
PF07270.10,,Protein of unknown function (DUF1438),25.00; 25.00;,DUF1438,151,,Family
PF07273.11,CL0648,Protein of unknown function (DUF1439),22.10; 22.10;,DUF1439,152,,Family
PF07274.11,,Protein of unknown function (DUF1440),34.70; 34.70;,DUF1440,135,,Family
PF07278.10,CL0123,Protein of unknown function (DUF1441),35.10; 35.10;,DUF1441,149,,Family
PF07279.10,CL0063,Protein of unknown function (DUF1442),20.80; 20.80;,DUF1442,218,,Family
PF07285.10,,Protein of unknown function (DUF1444),23.80; 23.80;,DUF1444,264,,Family
PF07286.11,,Protein of unknown function (DUF1445),25.00; 25.00;,DUF1445,143,,Family
PF07288.10,,Protein of unknown function (DUF1447),25.00; 25.00;,DUF1447,68,,Family
PF07290.10,CL0252,Protein of unknown function (DUF1449),21.60; 21.60;,DUF1449,197,,Family
PF07293.10,,Protein of unknown function (DUF1450),24.30; 24.30;,DUF1450,75,,Family
PF07295.10,CL0167,Zinc-ribbon containing domain,24.10; 24.10;,DUF1451,146,,Family
PF07301.10,,Protein of unknown function (DUF1453),22.90; 22.90;,DUF1453,145,,Family
PF07305.11,,Protein of unknown function (DUF1454),25.60; 25.60;,DUF1454,189,,Family
PF07306.10,,Protein of unknown function (DUF1455),25.00; 25.00;,DUF1455,130,,Family
PF07308.12,,Protein of unknown function (DUF1456),21.70; 21.70;,DUF1456,68,,Domain
PF07312.10,,Protein of unknown function (DUF1459),20.80; 20.80;,DUF1459,81,,Family
PF07313.11,CL0125,Protein of unknown function (DUF1460),21.30; 21.30;,DUF1460,215,,Family
PF07314.10,,Protein of unknown function (DUF1461),24.00; 24.00;,DUF1461,189,,Family
PF07315.10,CL0172,Protein of unknown function (DUF1462),25.00; 25.00;,DUF1462,93,,Family
PF07316.10,,Protein of unknown function (DUF1463),25.00; 25.00;,DUF1463,137,,Family
PF07318.11,CL0108,Protein of unknown function (DUF1464),23.50; 23.50;,DUF1464,327,,Family
PF07323.11,,Protein of unknown function (DUF1465),25.00; 25.00;,DUF1465,154,,Family
PF07326.10,,Protein of unknown function (DUF1466),25.00; 25.00;,DUF1466,232,,Family
PF07330.11,,Protein of unknown function (DUF1467),23.50; 23.50;,DUF1467,83,,Family
PF07338.12,,Protein of unknown function (DUF1471),21.40; 21.40;,DUF1471,56,,Family
PF07339.11,,Protein of unknown function (DUF1472),19.60; 19.60;,DUF1472,101,,Family
PF07341.10,,Protein of unknown function (DUF1473),25.00; 25.00;,DUF1473,163,,Family
PF07342.10,,Protein of unknown function (DUF1474),21.40; 21.40;,DUF1474,100,,Family
PF07343.10,,Protein of unknown function (DUF1475),21.10; 21.10;,DUF1475,236,,Family
PF07345.10,,Domain of unknown function (DUF1476),25.00; 25.00;,DUF1476,102,,Domain
PF07346.10,,Protein of unknown function (DUF1477),21.60; 21.60;,DUF1477,118,,Family
PF07349.10,,Protein of unknown function (DUF1478),25.00; 25.00;,DUF1478,161,,Family
PF07350.11,CL0029,Protein of unknown function (DUF1479),21.20; 21.20;,DUF1479,415,,Family
PF02520.16,,Domain of unknown function DUF148,26.80; 26.80;,DUF148,109,,Family
PF07351.12,,Protein of unknown function (DUF1480),25.00; 25.00;,DUF1480,79,,Family
PF07356.11,,Protein of unknown function (DUF1481),25.00; 25.00;,DUF1481,186,,Family
PF07358.10,,Protein of unknown function (DUF1482),25.00; 25.00;,DUF1482,57,,Family
PF07363.10,,Protein of unknown function (DUF1484),21.20; 21.20;,DUF1484,109,,Family
PF07364.11,,Metallopeptidase family M81,22.00; 22.00;,DUF1485,288,,Domain
PF07368.10,CL0099,Protein of unknown function (DUF1487),20.00; 20.00;,DUF1487,215,,Family
PF07369.10,,Protein of unknown function (DUF1488),21.20; 21.20;,DUF1488,82,,Family
PF07370.10,,Protein of unknown function (DUF1489),25.00; 25.00;,DUF1489,138,,Family
PF07371.11,,Protein of unknown function (DUF1490),21.60; 21.60;,DUF1490,88,,Family
PF07372.11,,Protein of unknown function (DUF1491),25.00; 25.00;,DUF1491,104,,Family
PF07374.10,CL0123,Protein of unknown function (DUF1492),21.50; 21.50;,DUF1492,100,,Family
PF07377.11,CL0314,Protein of unknown function (DUF1493),20.70; 20.70;,DUF1493,110,,Domain
PF07379.10,,Protein of unknown function (DUF1494),24.30; 24.30;,DUF1494,173,,Family
PF07381.10,CL0123,Winged helix DNA-binding domain (DUF1495),21.60; 21.60;,DUF1495,90,,Domain
PF07383.11,,Protein of unknown function (DUF1496),20.20; 20.20;,DUF1496,53,,Family
PF07384.10,,Protein of unknown function (DUF1497),20.00; 20.00;,DUF1497,59,,Family
PF07386.10,,Protein of unknown function (DUF1499),22.60; 22.60;,DUF1499,114,,Family
PF02576.16,,RimP N-terminal domain,22.70; 22.70;,DUF150,73,,Domain
PF07389.11,,Protein of unknown function (DUF1500),25.00; 25.00;,DUF1500,97,,Family
PF07394.11,CL0088,Protein of unknown function (DUF1501),19.80; 19.80;,DUF1501,392,,Family
PF07397.10,,Repeat of unknown function (DUF1502),19.00; 19.00;,DUF1502,34,,Repeat
PF07403.10,,Protein of unknown function (DUF1505),25.40; 25.40;,DUF1505,114,,Family
PF07405.10,,Protein of unknown function (DUF1506),25.00; 25.00;,DUF1506,127,,Family
PF07408.10,,Protein of unknown function (DUF1507),25.00; 25.00;,DUF1507,85,,Family
PF07411.11,,Domain of unknown function (DUF1508),21.00; 21.00;,DUF1508,48,,Domain
PF07420.10,,Protein of unknown function (DUF1509),24.90; 24.90;,DUF1509,384,,Family
PF17384.1,,RimP C-terminal SH3 domain,23.00; 23.00;,DUF150_C,70,,Domain
PF07423.10,,Protein of unknown function (DUF1510),42.00; 42.00;,DUF1510,217,,Family
PF07431.11,,Protein of unknown function (DUF1512),25.00; 25.00;,DUF1512,356,,Family
PF07433.10,CL0186,Protein of unknown function (DUF1513),20.00; 20.00;,DUF1513,307,,Family
PF07438.10,,Protein of unknown function (DUF1514),25.00; 25.00;,DUF1514,59,,Family
PF07439.10,,Protein of unknown function (DUF1515),22.20; 22.20;,DUF1515,112,,Family
PF07457.10,,Protein of unknown function (DUF1516),29.90; 29.90;,DUF1516,108,,Family
PF07466.10,,Protein of unknown function (DUF1517),23.60; 23.60;,DUF1517,288,,Family
PF07469.11,,Domain of unknown function (DUF1518) ,25.00; 25.00;,DUF1518,58,,Domain
PF07481.10,,Domain of Unknown Function (DUF1521),22.10; 22.10;,DUF1521,169,,Family
PF07482.10,,Domain of Unknown Function (DUF1522),25.00; 25.00;,DUF1522,110,,Family
PF07509.10,,Protein of unknown function (DUF1523),23.00; 23.00;,DUF1523,176,,Family
PF07510.10,CL0263,Protein of unknown function (DUF1524),21.20; 21.20;,DUF1524,139,,Domain
PF07511.10,CL0172,Protein of unknown function (DUF1525),22.70; 22.70;,DUF1525,114,,Family
PF07485.10,,Domain of Unknown Function (DUF1259),25.00; 25.00;,DUF1529,121,,Family
PF07550.10,,Protein of unknown function (DUF1533),20.80; 20.80;,DUF1533,60,,Family
PF07551.10,,Protein of unknown function (DUF1534),25.00; 25.00;,DUF1534,48,,Family
PF07005.10,,Putative sugar-binding N-terminal domain,25.00; 22.00;,DUF1537,228,,Domain
PF07556.10,,Protein of unknown function (DUF1538),21.40; 21.40;,DUF1538,211,,Family
PF07560.10,,Domain of Unknown Function (DUF1539),21.10; 21.10;,DUF1539,126,,Family
PF07561.10,,Domain of Unknown Function (DUF1540),22.10; 8.80;,DUF1540,46,,Family
PF07563.10,,Protein of unknown function (DUF1541),25.00; 25.00;,DUF1541,52,,Family
PF07564.10,CL0598,Domain of Unknown Function (DUF1542),24.30; 24.30;,DUF1542,77,,Domain
PF07566.11,,Domain of Unknown Function (DUF1543),22.90; 22.90;,DUF1543,52,,Domain
PF07577.10,,Domain of Unknown Function (DUF1547),25.00; 25.00;,DUF1547,60,,Family
PF07579.10,,Domain of Unknown Function (DUF1548),22.20; 22.20;,DUF1548,135,,Family
PF02582.13,,"Uncharacterised ACR, YagE family COG1723",21.50; 21.50;,DUF155,176,,Family
PF07588.10,CL0056,Protein of unknown function (DUF1554),27.50; 27.50;,DUF1554,135,,Family
PF07590.10,,Protein of unknown function (DUF1556),25.00; 25.00;,DUF1556,82,,Family
PF07597.10,,Protein of unknown function (DUF1560),25.00; 25.00;,DUF1560,49,,Family
PF07598.10,,Protein of unknown function (DUF1561),25.00; 25.00;,DUF1561,625,,Family
PF07599.10,,Protein of unknown function (DUF1563),20.40; 20.40;,DUF1563,43,,Family
PF07600.10,,Protein of unknown function (DUF1564),25.00; 25.00;,DUF1564,167,,Family
PF07602.10,CL0268,Protein of unknown function (DUF1565),20.30; 20.30;,DUF1565,247,,Family
PF07603.10,,Protein of unknown function (DUF1566),34.60; 34.60;,DUF1566,115,,Family
PF07606.10,CL0310,Protein of unknown function (DUF1569),20.80; 20.80;,DUF1569,152,,Family
PF07607.10,CL0126,Protein of unknown function (DUF1570),21.70; 21.70;,DUF1570,129,,Family
PF07608.10,CL0048,Protein of unknown function (DUF1571),21.40; 21.40;,DUF1571,208,,Domain
PF07609.10,CL0310,Protein of unknown function (DUF1572),20.40; 20.40;,DUF1572,163,,Family
PF07610.10,CL0556,Protein of unknown function (DUF1573),20.50; 20.50;,DUF1573,98,,Family
PF07611.10,CL0264,Protein of unknown function (DUF1574),29.10; 29.10;,DUF1574,342,,Family
PF07613.10,,Protein of unknown function (DUF1576),25.00; 25.00;,DUF1576,176,,Family
PF07614.10,,Protein of unknown function (DUF1577),25.00; 25.00;,DUF1577,256,,Family
PF07617.10,,Protein of unknown function (DUF1579),21.00; 21.00;,DUF1579,156,,Family
PF07618.10,,Protein of unknown function (DUF1580),22.90; 22.90;,DUF1580,57,,Family
PF07619.10,,Protein of unknown function (DUF1581),20.50; 20.50;,DUF1581,84,,Family
PF07621.10,,Protein of unknown function (DUF1582),25.00; 25.00;,DUF1582,29,,Family
PF07622.10,CL0004,Protein of unknown function (DUF1583),22.90; 22.90;,DUF1583,411,,Family
PF07625.10,,Protein of unknown function (DUF1586),20.80; 20.80;,DUF1586,22,,Family
PF07628.10,,Protein of unknown function (DUF1589),20.60; 20.60;,DUF1589,164,,Family
PF07629.10,,Protein of unknown function (DUF1590),25.00; 25.00;,DUF1590,32,,Family
PF07632.10,,Protein of unknown function (DUF1593),42.90; 42.90;,DUF1593,258,,Family
PF07643.10,,Protein of unknown function (DUF1598),25.00; 25.00;,DUF1598,84,,Family
PF07659.10,,Domain of Unknown Function (DUF1599),25.00; 25.00;,DUF1599,61,,Family
PF01519.15,,Protein of unknown function DUF16,29.80; 29.80;,DUF16,104,,Family
PF07667.10,,Protein of unknown function (DUF1600),25.00; 25.00;,DUF1600,111,,Family
PF07671.10,,Protein of unknown function (DUF1601),25.00; 4.00;,DUF1601,37,,Family
PF07713.12,,Protein of unknown function (DUF1604),25.00; 25.00;,DUF1604,85,,Family
PF07753.10,,Protein of unknown function (DUF1609),25.00; 25.00;,DUF1609,227,,Family
PF07754.10,CL0167,Domain of unknown function (DUF1610),20.70; 20.70;,DUF1610,24,,Domain
PF07755.10,CL0023,Domain of unknown function (DUF1611_C) P-loop domain,21.60; 21.60;,DUF1611,200,,Domain
PF17396.1,CL0063,Domain of unknown function (DUF1611_N) Rossmann-like domain,22.60; 22.60;,DUF1611_N,94,,Domain
PF07756.11,,Protein of unknown function (DUF1612),30.10; 30.10;,DUF1612,127,,Family
PF07758.10,,Protein of unknown function (DUF1614),23.90; 23.90;,DUF1614,170,,Family
PF07759.11,,Protein of unknown function (DUF1615),25.00; 25.00;,DUF1615,320,,Family
PF07760.10,,Protein of unknown function (DUF1616),31.60; 31.60;,DUF1616,292,,Family
PF07761.11,,Protein of unknown function (DUF1617),21.10; 21.10;,DUF1617,143,,Family
PF07762.13,,Protein of unknown function (DUF1618),21.00; 21.00;,DUF1618,130,,Family
PF07773.10,,Protein of unknown function (DUF1619),20.90; 20.90;,DUF1619,316,,Family
PF07774.12,,Protein of unknown function (DUF1620),20.70; 20.70;,DUF1620,213,,Family
PF07784.10,,Protein of unknown function (DUF1622),20.00; 20.00;,DUF1622,78,,Family
PF07785.10,,Protein of unknown function (DUF1623),25.00; 25.00;,DUF1623,90,,Family
PF07786.11,CL0316,Protein of unknown function (DUF1624),21.00; 21.00;,DUF1624,223,,Family
PF07789.11,,Protein of unknown function (DUF1627),28.10; 28.10;,DUF1627,155,,Family
PF07791.10,,Protein of unknown function (DUF1629),22.10; 22.10;,DUF1629,122,,Family
PF07793.10,,Protein of unknown function (DUF1631),31.20; 31.20;,DUF1631,744,,Family
PF07794.10,,Protein of unknown function (DUF1633),26.40; 26.40;,DUF1633,790,,Family
PF07843.10,,Protein of unknown function (DUF1634),24.60; 24.60;,DUF1634,102,,Family
PF07795.10,,Protein of unknown function (DUF1635),27.20; 27.20;,DUF1635,216,,Family
PF07845.10,,Protein of unknown function (DUF1636),29.70; 29.70;,DUF1636,117,,Family
PF07796.10,,Protein of unknown function (DUF1638),20.40; 20.40;,DUF1638,161,,Family
PF07797.13,,Protein of unknown function (DUF1639),22.20; 22.20;,DUF1639,50,,Family
PF07798.10,,Protein of unknown function (DUF1640),26.30; 26.30;,DUF1640,175,,Family
PF07849.10,,Protein of unknown function (DUF1641),20.60; 20.60;,DUF1641,39,,Family
PF07852.10,,Protein of unknown function (DUF1642),27.80; 27.80;,DUF1642,138,,Family
PF07799.11,,Protein of unknown function (DUF1643),20.20; 20.20;,DUF1643,134,,Family
PF07800.11,CL0229,Protein of unknown function (DUF1644),25.00; 25.00;,DUF1644,168,,Family
PF07816.10,,Protein of unknown function (DUF1645),25.00; 25.00;,DUF1645,192,,Family
PF07854.11,CL0182,Protein of unknown function (DUF1646),20.30; 20.30;,DUF1646,347,,Family
PF07801.10,,Protein of unknown function (DUF1647),22.30; 22.30;,DUF1647,141,,Family
PF07853.10,,Protein of unknown function (DUF1648),28.70; 28.70;,DUF1648,49,,Family
PF07864.10,,Protein of unknown function (DUF1651),20.40; 20.40;,DUF1651,74,,Family
PF07865.10,,Protein of unknown function (DUF1652),21.30; 21.30;,DUF1652,67,,Family
PF07866.10,,Protein of unknown function (DUF1653),23.50; 23.50;,DUF1653,62,,Family
PF07867.10,,Protein of unknown function (DUF1654),20.90; 20.90;,DUF1654,70,,Family
PF07868.10,,Protein of unknown function (DUF1655),20.10; 20.10;,DUF1655,55,,Family
PF07869.11,,Protein of unknown function (DUF1656),26.50; 25.80;,DUF1656,56,,Family
PF07870.10,,Protein of unknown function (DUF1657),25.60; 25.60;,DUF1657,49,,Family
PF07871.10,,Protein of unknown function (DUF1658),25.00; 25.00;,DUF1658,21,,Family
PF07872.10,,Protein of unknown function (DUF1659),20.70; 20.70;,DUF1659,45,,Family
PF02593.13,CL0063,Domain of unknown function,24.40; 24.40;,DUF166,220,,Family
PF07874.10,,Prophage protein (DUF1660),21.40; 21.40;,DUF1660,64,,Family
PF07877.10,,Protein of unknown function (DUF1661),25.00; 25.00;,DUF1661,31,,Domain
PF07909.10,,Protein of unknown function (DUF1663),25.00; 25.00;,DUF1663,497,,Family
PF07889.11,,Protein of unknown function (DUF1664),31.90; 31.90;,DUF1664,124,,Coiled-coil
PF07891.11,,Protein of unknown function (DUF1666),25.00; 25.00;,DUF1666,246,,Family
PF07892.10,,Protein of unknown function (DUF1667),20.60; 20.60;,DUF1667,82,,Family
PF07893.12,CL0186,Protein of unknown function (DUF1668),21.60; 21.60;,DUF1668,342,,Family
PF07894.11,CL0479,Protein of unknown function (DUF1669),21.40; 21.40;,DUF1669,274,,Family
PF02594.15,,"Uncharacterised ACR, YggU family COG1872",22.60; 22.60;,DUF167,77,,Domain
PF07900.10,CL0123,Protein of unknown function (DUF1670),25.00; 25.00;,DUF1670,220,,Family
PF07901.10,,Protein of unknown function (DUF1672),25.00; 25.00;,DUF1672,271,,Family
PF07895.10,,Protein of unknown function (DUF1673),25.70; 25.70;,DUF1673,230,,Family
PF07896.11,,Protein of unknown function (DUF1674),23.50; 23.50;,DUF1674,50,,Family
PF07898.12,,Protein of unknown function (DUF1676),24.30; 24.30;,DUF1676,172,,Family
PF07911.12,,Protein of unknown function (DUF1677),25.00; 25.00;,DUF1677,89,,Family
PF07913.10,,Protein of unknown function (DUF1678),25.00; 25.00;,DUF1678,196,,Family
PF07914.10,CL0016,Protein of unknown function (DUF1679),20.00; 20.00;,DUF1679,414,,Family
PF07933.13,CL0266,Protein of unknown function (DUF1681),28.90; 28.90;,DUF1681,148,,Family
PF07946.13,,Protein of unknown function (DUF1682),27.70; 27.70;,DUF1682,321,,Family
PF07920.10,,Protein of unknown function (DUF1684),25.00; 25.00;,DUF1684,140,,Family
PF07939.10,,Protein of unknown function (DUF1685),20.30; 20.30;,DUF1685,60,,Family
PF07937.10,,Protein of unknown function (DUF1686),25.00; 25.00;,DUF1686,181,,Family
PF07955.10,CL0172,Protein of unknown function (DUF1687) ,21.50; 21.50;,DUF1687,128,,Family
PF07958.10,,Protein of unknown function (DUF1688),25.00; 25.00;,DUF1688,422,,Family
PF07954.10,,Protein of unknown function (DUF1689) ,25.00; 25.00;,DUF1689,146,,Family
PF02596.14,,"Uncharacterised ArCR, COG2043",20.20; 20.20;,DUF169,206,,Family
PF07956.10,,Protein of Unknown function (DUF1690) ,29.00; 29.00;,DUF1690,139,,Family
PF07950.10,CL0335,Protein of unknown function (DUF1691),21.70; 21.70;,DUF1691,107,,Family
PF07997.10,,Protein of unknown function (DUF1694),25.00; 25.00;,DUF1694,117,,Family
PF08002.10,,Protein of unknown function (DUF1697),24.00; 24.00;,DUF1697,136,,Family
PF08004.10,,Protein of unknown function (DUF1699),33.40; 33.40;,DUF1699,130,,Family
PF08006.10,CL0112,Protein of unknown function (DUF1700),28.30; 28.30;,DUF1700,181,,Family
PF08012.10,,Protein of unknown function (DUF1702),25.00; 25.00;,DUF1702,319,,Family
PF08014.10,,Domain of unknown function (DUF1704),21.80; 21.80;,DUF1704,365,,Domain
PF08019.11,,Domain of unknown function (DUF1705),21.40; 21.40;,DUF1705,152,,Domain
PF08020.10,CL0310,Protein of unknown function (DUF1706),24.10; 24.10;,DUF1706,166,,Family
PF08044.10,,Domain of unknown function (DUF1707),27.60; 27.60;,DUF1707,53,,Domain
PF08101.10,CL0409,Domain of unknown function (DUF1708),23.30; 23.30;,DUF1708,431,,Domain
PF08217.10,,Fungal domain of unknown function (DUF1712),19.00; 19.00;,DUF1712,604,,Family
PF08213.10,,Mitochondrial domain of unknown function (DUF1713),20.10; 20.10;,DUF1713,33,,Domain
PF05414.10,,Viral domain of unknown function (DUF1717),21.30; 21.30;,DUF1717,78,,Domain
PF08224.10,,Domain of unknown function (DUF1719),25.00; 25.00;,DUF1719,231,,Domain
PF08226.10,,Domain of unknown function (DUF1720),21.40; 21.40;,DUF1720,75,,Domain
PF08349.10,,Protein of unknown function (DUF1722),22.50; 22.50;,DUF1722,117,,Family
PF08350.9,,Domain of unknown function (DUF1724),27.00; 27.00;,DUF1724,62,,Family
PF08333.10,,Protein of unknown function (DUF1725),22.20; 22.20;,DUF1725,19,,Family
PF08351.10,CL0023,Domain of unknown function (DUF1726),21.10; 21.10;,DUF1726,93,,Family
PF08353.9,,Domain of unknown function (DUF1727),25.00; 25.00;,DUF1727,110,,Family
PF08354.9,,Domain of unknown function (DUF1729),25.00; 25.00;,DUF1729,57,,Family
PF08331.9,,Domain of unknown function (DUF1730),21.40; 21.40;,DUF1730,72,,Family
PF08338.10,,Domain of unknown function (DUF1731),21.70; 21.70;,DUF1731,47,,Family
PF08340.10,,Domain of unknown function (DUF1732),20.70; 20.70;,DUF1732,85,,Family
PF08522.9,CL0594,Domain of unknown function (DUF1735),23.70; 23.70;,DUF1735,120,,Domain
PF08409.10,,Domain of unknown function (DUF1736),21.70; 21.70;,DUF1736,75,,Family
PF08410.9,,Domain of unknown function (DUF1737),20.60; 20.60;,DUF1737,53,,Family
PF08401.10,,Domain of unknown function (DUF1738),22.60; 22.60;,DUF1738,128,,Family
PF08427.9,,Domain of unknown function (DUF1741),21.20; 21.20;,DUF1741,232,,Domain
PF08489.10,CL0221,Domain of unknown function (DUF1743),20.80; 20.80;,DUF1743,116,,Family
PF08490.11,CL0194,Domain of unknown function (DUF1744),21.50; 21.50;,DUF1744,401,,Domain
PF08508.9,,Fungal domain of unknown function (DUF1746),22.30; 22.30;,DUF1746,115,,Domain
PF08520.9,,Fungal protein of unknown function (DUF1748),21.00; 21.00;,DUF1748,69,,Family
PF08538.9,CL0028,Protein of unknown function (DUF1749),19.90; 19.90;,DUF1749,303,,Domain
PF08551.9,CL0207,Eukaryotic integral membrane protein (DUF1751),21.20; 21.20;,DUF1751,99,,Domain
PF08550.9,,Fungal protein of unknown function (DUF1752),20.90; 20.90;,DUF1752,28,,Domain
PF08555.9,,Eukaryotic family of unknown function (DUF1754),21.70; 21.70;,DUF1754,98,,Family
PF08560.9,,Protein of unknown function (DUF1757),21.00; 21.00;,DUF1757,147,,Family
PF05585.11,CL0129,Putative peptidase (DUF1758),21.80; 21.80;,DUF1758,164,,Family
PF03564.14,CL0523,Protein of unknown function (DUF1759),24.30; 24.30;,DUF1759,148,,Family
PF08570.9,,Protein of unknown function (DUF1761),27.30; 27.30;,DUF1761,125,,Family
PF08576.9,,Eukaryotic protein of unknown function (DUF1764),21.80; 21.80;,DUF1764,101,,Family
PF08578.9,,Protein of unknown function (DUF1765),25.00; 25.00;,DUF1765,125,,Family
PF08719.10,,Domain of unknown function (DUF1768),34.40; 34.40;,DUF1768,161,,Domain
PF08588.9,,Protein of unknown function (DUF1769),21.10; 21.10;,DUF1769,55,,Family
PF02620.16,,"Uncharacterized ACR, COG1399",22.80; 22.80;,DUF177,121,,Family
PF08589.9,,Fungal protein of unknown function (DUF1770),25.00; 25.00;,DUF1770,99,,Family
PF08590.9,,Domain of unknown function (DUF1771),28.70; 28.70;,DUF1771,64,,Domain
PF08592.10,,Domain of unknown function (DUF1772),26.20; 26.20;,DUF1772,137,,Domain
PF08593.9,,Domain of unknown function,25.00; 25.00;,DUF1773,58,,Domain
PF08611.9,,Fungal protein of unknown function (DUF1774),23.00; 23.00;,DUF1774,95,,Family
PF07987.10,,Domain of unkown function (DUF1775),25.00; 25.00;,DUF1775,149,,Domain
PF08643.9,CL0063,Fungal family of unknown function (DUF1776),20.00; 20.00;,DUF1776,296,,Family
PF08648.11,,Protein of unknown function (DUF1777),33.30; 33.30;,DUF1777,171,,Family
PF08681.10,CL0057,Protein of unknown function (DUF1778),20.90; 20.90;,DUF1778,80,,Domain
PF08680.9,,TATA-box binding,25.00; 25.00;,DUF1779,204,,Family
PF08682.9,CL0236,"Putative endonuclease, protein of unknown function (DUF1780)",19.70; 19.70;,DUF1780,208,,Family
PF08735.9,,Putative pyruvate format-lyase activating enzyme (DUF1786),25.00; 25.00;,DUF1786,252,,Family
PF08747.10,,Domain of unknown function (DUF1788),26.80; 26.80;,DUF1788,124,,Domain
PF02622.14,,"Uncharacterized ACR, COG1678",20.60; 20.60;,DUF179,158,,Family
PF08760.10,,Domain of unknown function (DUF1793),22.00; 22.00;,DUF1793,166,,Domain
PF08768.10,CL0116,Domain of unknown function (DUF1794),25.00; 25.00;,DUF1794,149,,Domain
PF08795.9,,Putative papain-like cysteine peptidase (DUF1796),21.60; 21.60;,DUF1796,168,,Domain
PF08796.9,,Protein of unknown function (DUF1797),21.40; 21.40;,DUF1797,67,,Family
PF08807.9,,Bacterial domain of unknown function (DUF1798),25.00; 25.00;,DUF1798,108,,Domain
PF08809.10,,Phage related hypothetical protein (DUF1799),21.70; 21.70;,DUF1799,80,,Domain
PF08811.10,,Protein of unknown function (DUF1800),25.00; 25.00;,DUF1800,432,,Family
PF08818.10,,Domain of unknown function (DU1801),27.20; 27.20;,DUF1801,84,,Domain
PF08819.10,,Domain of unknown function (DUF1802),25.00; 25.00;,DUF1802,174,,Domain
PF08820.9,,Domain of unknown function (DUF1803),24.20; 24.20;,DUF1803,93,,Domain
PF08822.10,CL0123,Protein of unknown function (DUF1804),29.00; 29.00;,DUF1804,164,,Family
PF08827.10,,Domain of unknown function (DUF1805),24.60; 24.60;,DUF1805,63,,Domain
PF08830.9,,Protein of unknown function (DUF1806),19.60; 19.60;,DUF1806,112,,Family
PF08837.10,,Protein of unknown function (DUF1810),25.00; 25.00;,DUF1810,136,,Family
PF08838.9,,Protein of unknown function (DUF1811),20.60; 20.60;,DUF1811,100,,Family
PF08844.9,,Domain of unknown function (DUF1815),25.00; 25.00;,DUF1815,101,,Domain
PF08846.9,,Domain of unknown function (DUF1816),20.50; 20.50;,DUF1816,65,,Domain
PF08848.10,CL0609,Domain of unknown function (DUF1818),25.00; 25.00;,DUF1818,113,,Domain
PF08849.10,,Putative inner membrane protein (DUF1819),20.60; 20.60;,DUF1819,184,,Family
PF08850.10,,Domain of unknown function (DUF1820),20.90; 20.90;,DUF1820,97,,Domain
PF08852.10,CL0020,Protein of unknown function (DUF1822),25.00; 25.00;,DUF1822,368,,Domain
PF08853.10,,Domain of unknown function (DUF1823),25.00; 25.00;,DUF1823,113,,Domain
PF08854.9,,Domain of unknown function (DUF1824),25.00; 25.00;,DUF1824,125,,Domain
PF08855.9,,Domain of unknown function (DUF1825),25.00; 25.00;,DUF1825,103,,Domain
PF08856.10,,Protein of unknown function (DUF1826),20.70; 20.70;,DUF1826,199,,Domain
PF08860.9,,Domain of unknown function (DUF1827),23.40; 23.40;,DUF1827,91,,Domain
PF08861.9,,Domain of unknown function DUF1828,21.50; 21.50;,DUF1828,91,,Domain
PF08862.9,,Domain of unknown function DUF1829,22.20; 22.20;,DUF1829,87,,Domain
PF08865.10,,Domain of unknown function (DUF1830),25.00; 25.00;,DUF1830,66,,Domain
PF08866.9,,Putative amino acid metabolism,25.00; 25.00;,DUF1831,111,,Domain
PF08875.10,CL0249,Domain of unknown function (DUF1833),21.00; 21.00;,DUF1833,150,,Family
PF08873.10,,Domain of unknown function (DUF1834),25.00; 25.00;,DUF1834,201,,Domain
PF08874.9,,Domain of unknown function (DUF1835),21.10; 21.10;,DUF1835,121,,Domain
PF08876.10,CL0123,Domain of unknown function (DUF1836),20.70; 20.70;,DUF1836,105,,Domain
PF08878.10,,Domain of unknown function (DUF1837),25.00; 25.00;,DUF1837,231,,Family
PF08894.10,,Protein of unknown function (DUF1838),25.00; 25.00;,DUF1838,236,,Family
PF08893.9,,Domain of unknown function (DUF1839),21.70; 21.70;,DUF1839,312,,Family
PF08895.10,,Domain of unknown function (DUF1840),25.00; 25.00;,DUF1840,108,,Domain
PF08897.10,,Domain of unknown function (DUF1841),21.00; 21.00;,DUF1841,135,,Domain
PF08896.9,,Domain of unknown function (DUF1842),20.20; 20.20;,DUF1842,114,,Domain
PF08898.9,,Domain of unknown function (DUF1843),22.60; 22.60;,DUF1843,52,,Domain
PF08899.10,,Domain of unknown function (DUF1844),20.70; 20.70;,DUF1844,73,,Domain
PF08900.10,,Domain of unknown function (DUF1845),20.40; 20.40;,DUF1845,215,,Family
PF08903.10,,Domain of unknown function (DUF1846),25.00; 25.00;,DUF1846,489,,Family
PF08901.10,,Protein of unknown function (DUF1847),25.00; 25.00;,DUF1847,157,,Family
PF08902.10,,Domain of unknown function (DUF1848),26.00; 26.00;,DUF1848,264,,Family
PF08904.10,,Domain of unknown function (DUF1849),25.00; 25.00;,DUF1849,249,,Family
PF08905.10,,Domain of unknown function (DUF1850),21.00; 21.00;,DUF1850,86,,Domain
PF08906.10,,Domain of unknown function (DUF1851),27.40; 27.40;,DUF1851,76,,Domain
PF08908.10,,Domain of unknown function (DUF1852),25.00; 25.00;,DUF1852,323,,Family
PF08907.10,,Domain of unknown function (DUF1853),25.00; 25.00;,DUF1853,286,,Family
